Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
Alitas de pollo con otras salsas o aderezos,"Pollo, piezas enteras",258,"17,74","9,42","7,76","0,2","16,67",3881,6788,2807,97,20,22,0,29,0,1001,19,"0,064","0,133",5722,"0,176",0,6,6,6,"45,2","0,34",0,"0,1",0,"0,84",0,"3,4",32,193,20,"0,84","1,22","0,059","28,9",265,660,0,0,0,0,0,0,0,0,"0,072",3068,"0,705","0,884",5822,"0,055","0,005",2553,"0,215",0,"0,021",0,0,0,"54,96"
Alitas de pollo con otras salsas o condimentos,"Pollo, piezas enteras",276,"16,95","13,13","7,55","0,2","17,39","4,137",7636,"3,219",92,16,18,0,29,0,1001,19,"0,068","0,162",5371,"0,169",6,6,17,12,"53,6","0,34",0,"0,1",0,"1,05",0,"3,4",44,182,20,"0,88","1,13","0,066","25,5",257,761,0,0,0,0,0,"0,001","0,002","0,004","0,102","3,019","0,916","0,767","6,71","0,098","0,011","2,819","0,324","0,001","0,036","0,001","0,002","0,001","50,53"
Alitas de pollo con salsa picante,"Pollo, piezas enteras",272,"16,78","6,18","2,26","0,1","20,2",6294,7889,"2,998",102,76,82,3,73,4,0,0,"0,065","0,154","5,218","0,249",6,6,16,12,53,"0,34",0,"0,2","0,2","0,88",0,"3,5",39,179,18,"0,79","1,1","0,055","25,1",213,842,0,0,0,"0,098","0,069","0,042","0,095","0,114","0,445",3944,1341,"0,802","6,91","0,086","0,006",2641,"0,284","0,001","0,041","0,002","0,004","0,001","54,71"
Alitas de pollo,"Pollo, piezas enteras",282,"12,36","20,03","5,72","0,9","16,87","3,33",6191,5134,45,19,22,1,38,1,769,18,"0,098","0,175",4739,"0,149",7,6,18,13,33,"0,25",0,"0,6","0,2","1,12",0,"6,4",17,211,21,"0,89","0,5","0,056","13,6",232,877,0,0,0,"0,025","0,017","0,019","0,029","0,031","0,118",2058,"0,892","0,234",5812,"0,104","0,007","4,713","0,341","0,001","0,039","0,001","0,004","0,002","47,84"
Abulón,Mariscos,177,"21,24","7,46",0,0,"6,12","0,877","2,326","2,116",106,2,2,0,0,0,0,0,"0,201","0,118","1,77","0,168",0,5,5,5,"80,7","0,77",0,2,0,"5,95",0,"33,8",39,236,60,"3,97","1,02","0,243","55,6",310,574,0,0,0,0,0,0,0,0,"0,031","0,624","0,175","0,043","2,245","0,035",0,1768,"0,226","0,007",0,"0,061","0,051",0,"62,72"
Aceite de algodón,Aderezos para ensaladas y aceites vegetales.,884,0,0,0,0,100,"25,9","17,8","51,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"35,3",0,"24,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8","22,7","2,3","0,8",17,0,0,"51,5","0,2",0,"0,1",0,0,0,0
Aceite de almendra,Aderezos para ensaladas y aceites vegetales.,884,0,0,0,0,100,"8,2","69,9","17,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,0,0,0,"39,2",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,5","1,7","0,6","69,4",0,0,"17,4",0,0,0,0,0,0,0
Aceite de cacahuete,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"16,2","57,1","19,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,"15,23",0,"4,3",0,0,0,"0,03","0,01",0,0,0,0,0,0,0,"0,004",0,"0,004","0,006","0,017","0,04","8,26","2,58","0,075","55,5","1,41","0,136","19,7","0,318",0,"0,003","0,001",0,0,0
aceite de canola,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"6,61","62,6","25,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"17,3",0,"71,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,047","3,86","1,66","0,205","60,3","1,89",0,"17,8","7,45",0,0,0,0,0,0
aceite de cártamo,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"7,65","71,6","13,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"45,95",0,"5,3",0,0,0,0,0,0,0,0,0,0,0,0,"0,004",0,"0,002","0,004","0,004","0,074","4,66","1,96","0,092",71,"0,323","0,012","13,7","0,15",0,0,"0,001",0,0,0
